10 King Clubs 44
10 King Diamonds 45
10 Jack Hearts 38
7 Seven Spades 23
11 Ace Clubs 48
10 King Clubs 44
10 King Clubs 44
11 Ace Diamonds 49
10 Queen Diamonds 41
3 Three Spades 7
4 Four Hearts 10
4 Four Spades 11
8 Eight Hearts 26
3 Three Diamonds 5
7 Seven Spades 23
5 Five Spades 15
10 Ten Diamonds 33
6 Six Clubs 16
10 Queen Spades 43
9 Nine Diamonds 29
2 Two Spades 3
10 Queen Clubs 40
10 Jack Diamonds 37
7 Seven Clubs 20
10 Ten Clubs 32
10 King Hearts 46
11 Ace Spades 51
4 Four Diamonds 9
3 Three Hearts 6
10 Ten Spades 35
4 Four Clubs 8
9 Nine Clubs 28
8 Eight Diamonds 25
2 Two Diamonds 1
2 Two Clubs 0
9 Nine Hearts 30
10 King Spades 47
10 Queen Hearts 42
6 Six Diamonds 17
6 Six Hearts 18
7 Seven Diamonds 21
8 Eight Clubs 24
10 Ten Hearts 34
5 Five Diamonds 13
10 Jack Spades 39
5 Five Clubs 12
6 Six Spades 19
8 Eight Spades 27
7 Seven Hearts 22
2 Two Hearts 2
10 Jack Clubs 36
5 Five Hearts 14

